,date,state,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease
1653,2020-09-04,MT,148,4180,259988,4328
1654,2020-09-04,NC,2045,39214,2389096,41259
1655,2020-09-04,ND,342,1513,207754,6370
1656,2020-09-04,NE,474,4153,373592,4627
1657,2020-09-04,NH,21,1367,217263,4582
1658,2020-09-04,NJ,449,34258,2964722,34707
1659,2020-09-04,NM,200,5637,776796,5837
1660,2020-09-04,NV,489,3058,608815,3547
1661,2020-09-04,NY,864,92531,8610853,93395
1662,2020-09-04,OH,1332,28725,2349585,30057
1663,2020-09-04,OK,1013,10336,920522,11349
1664,2020-09-04,OR,265,5539,576929,5804
1665,2020-09-04,PA,891,11436,1714541,12327
1666,2020-09-04,PR,43,0,340213,43
1667,2020-09-04,RI,100,2273,284006,9929
1668,2020-09-04,SC,1629,10930,981984,12559
1669,2020-09-04,SD,259,1497,152293,1756
1670,2020-09-04,TN,1051,17180,2283234,18231
1671,2020-09-04,TX,5482,6768,5119753,12250
1672,2020-09-04,UT,513,5544,679716,6057
1673,2020-09-04,VA,1111,14186,1640101,15255
1674,2020-09-04,VI,6,141,16971,147
1675,2020-09-04,VT,5,1312,142198,1317
1676,2020-09-04,WA,479,21257,1518089,21736
1677,2020-09-04,WI,1542,10204,1294797,11746
1678,2020-09-04,WV,192,3625,448911,3817
1679,2020-09-04,WY,50,750,78301,800
1680,2020-09-03,AK,106,946,377936,1052
1681,2020-09-03,AL,1046,695,965974,1076
1682,2020-09-03,AR,1392,0,738841,0
1683,2020-09-03,AS,0,0,1514,0
1684,2020-09-03,AZ,1092,7840,1222859,8912
1685,2020-09-03,CA,5125,78429,11663924,83554
1686,2020-09-03,CO,244,4416,723058,6855
1687,2020-09-03,CT,101,14136,1218216,14237
1688,2020-09-03,DC,58,3904,298759,3962
1689,2020-09-03,DE,104,3914,244548,4018
1690,2020-09-03,FL,3571,20323,4721205,23894
1691,2020-09-03,GA,2675,26353,2410665,29028
1692,2020-09-03,GU,66,653,39490,719
1693,2020-09-03,HI,338,4907,207431,5245
1694,2020-09-03,IA,878,4226,634758,5104
1695,2020-09-03,ID,296,2008,261400,2266
1696,2020-09-03,IL,1360,39435,4162370,40795
1697,2020-09-03,IN,1104,9338,1103038,10442
1698,2020-09-03,KS,0,0,419247,0
1699,2020-09-03,KY,894,6319,844424,6988
1700,2020-09-03,LA,813,11507,1917099,12320
1701,2020-09-03,MA,415,31191,1803312,82387
1702,2020-09-03,MD,693,11266,1357605,11959
1703,2020-09-03,ME,50,7971,281053,8021
1704,2020-09-03,MI,774,31861,2849451,32635
1705,2020-09-03,MN,1038,6496,1158388,14552
1706,2020-09-03,MO,1397,8584,1008078,9981
1707,2020-09-03,MP,0,0,13541,0
1708,2020-09-03,MS,751,4244,586581,4995
1709,2020-09-03,MT,180,1607,255660,1787
1710,2020-09-03,NC,1656,30871,2347837,32527
1711,2020-09-03,ND,359,1440,205899,6312
1712,2020-09-03,NE,421,2903,368965,3324
1713,2020-09-03,NH,50,4544,215875,8287
1714,2020-09-03,NJ,378,27370,2930015,27748
1715,2020-09-03,NM,152,5408,770959,5560
1716,2020-09-03,NV,351,2609,605268,2960
1717,2020-09-03,NY,889,88092,8517458,88981
1718,2020-09-03,OH,1345,25435,2319528,26780
1719,2020-09-03,OK,909,8895,909027,9804
1720,2020-09-03,OR,261,4482,571125,4743
1721,2020-09-03,PA,1160,13358,1702214,14518
1722,2020-09-03,PR,195,0,340170,195
1723,2020-09-03,RI,65,2927,281633,11454
1724,2020-09-03,SC,1193,9200,969425,10393
1725,2020-09-03,SD,334,1278,150537,1612
1726,2020-09-03,TN,1715,25057,2265003,26772
1727,2020-09-03,TX,3680,34961,5107503,38641
1728,2020-09-03,UT,504,4730,673659,5234
1729,2020-09-03,VA,1126,12714,1624861,13763
1730,2020-09-03,VI,1,306,16810,307
1731,2020-09-03,VT,0,1785,140881,1785
1732,2020-09-03,WA,438,15876,1496353,16314
1733,2020-09-03,WI,740,8451,1283071,9191
1734,2020-09-03,WV,203,3306,445094,3509
1735,2020-09-03,WY,28,663,77501,691
1736,2020-09-02,AK,73,2556,376884,2629
1737,2020-09-02,AL,623,4690,964233,4776
1738,2020-09-02,AR,615,5809,737449,6424
1739,2020-09-02,AS,0,0,1514,0
1740,2020-09-02,AZ,519,4418,1213927,4921
1741,2020-09-02,CA,4255,105419,11580370,109674
1742,2020-09-02,CO,351,3279,718398,4672
1743,2020-09-02,CT,102,11539,1203979,11641
1744,2020-09-02,DC,28,1925,294797,1953
1745,2020-09-02,DE,14,2093,240530,2107
1746,2020-09-02,FL,2402,15534,4697317,17936
1747,2020-09-02,GA,1916,11223,2381637,13139
1748,2020-09-02,GU,47,402,38771,449
1749,2020-09-02,HI,181,3823,202186,4004
1750,2020-09-02,IA,726,5381,629654,6107
1751,2020-09-02,ID,280,1127,259096,1349
1752,2020-09-02,IL,2128,30623,4121575,32751
1753,2020-09-02,IN,859,7972,1092596,8831
1754,2020-09-02,KS,1328,4670,419247,5998
1755,2020-09-02,KY,806,5984,837211,6657
1756,2020-09-02,LA,1151,13102,1904779,14253
1757,2020-09-02,MA,-7757,15291,1771706,30141
1758,2020-09-02,MD,456,6273,1345646,6729
1759,2020-09-02,ME,19,4278,273032,4297
1760,2020-09-02,MI,648,26761,2816816,27409
1761,2020-09-02,MN,730,17202,1150854,26636
1762,2020-09-02,MO,1458,5395,998097,6853
1763,2020-09-02,MP,0,0,13541,0
1764,2020-09-02,MS,781,3288,581586,4069
1765,2020-09-02,MT,182,1395,253873,1577
1766,2020-09-02,NC,1129,18483,2315310,19612
1767,2020-09-02,ND,266,1412,204100,5525
1768,2020-09-02,NE,287,2279,365641,2566
1769,2020-09-02,NH,0,0,211281,0
1770,2020-09-02,NJ,305,42914,2902267,43219
1771,2020-09-02,NM,108,4417,765399,4525
1772,2020-09-02,NV,239,1720,602308,1959
1773,2020-09-02,NY,708,87739,8428477,88447
1774,2020-09-02,OH,1157,21922,2292748,23079
1775,2020-09-02,OK,719,5611,898573,6330
1776,2020-09-02,OR,129,4453,566382,4582
1777,2020-09-02,PA,816,12116,1687696,12932
1778,2020-09-02,PR,582,0,339975,582
1779,2020-09-02,RI,76,2083,278641,5651
1780,2020-09-02,SC,657,3973,959032,4630
1781,2020-09-02,SD,254,1076,148925,1330
1782,2020-09-02,TN,1502,18978,2238231,20480
1783,2020-09-02,TX,4334,30974,5068862,35308
1784,2020-09-02,UT,419,3485,668425,3904
1785,2020-09-02,VA,927,11075,1610969,11922
1786,2020-09-02,VI,4,95,16505,99
1787,2020-09-02,VT,2,648,139096,650
1788,2020-09-02,WA,304,6490,1480039,6794
1789,2020-09-02,WI,578,7831,1273880,8409
1790,2020-09-02,WV,135,3009,441585,3144
1791,2020-09-02,WY,45,198,76810,243
1792,2020-09-01,AK,35,25590,374255,25625
1793,2020-09-01,AL,1558,-27925,958920,-26943
1794,2020-09-01,AR,273,3717,731025,3990
1795,2020-09-01,AS,0,0,1514,0
1796,2020-09-01,AZ,507,4054,1208990,4558
1797,2020-09-01,CA,3712,93679,11470696,97391
1798,2020-09-01,CO,201,4671,714768,7168
1799,2020-09-01,CT,127,19115,1192338,19242
1800,2020-09-01,DC,57,2105,292844,2162
1801,2020-09-01,DE,106,1468,238423,1574
1802,2020-09-01,FL,7569,52758,4679325,60327
1803,2020-09-01,GA,2226,22638,2368498,24864
1804,2020-09-01,GU,52,386,38322,438
1805,2020-09-01,HI,133,1330,198182,1463
1806,2020-09-01,IA,591,2084,623547,2675
1807,2020-09-01,ID,221,1455,257689,1646
1808,2020-09-01,IL,1492,21469,4088824,22961
1809,2020-09-01,IN,695,6123,1083765,6818
1810,2020-09-01,KS,0,0,413249,0
1811,2020-09-01,KY,789,8312,830421,8924
1812,2020-09-01,LA,689,16347,1890526,17036
1813,2020-09-01,MA,355,21300,1764172,43915
1814,2020-09-01,MD,614,7450,1338917,8064
1815,2020-09-01,ME,22,5778,268735,5800
1816,2020-09-01,MI,795,24181,2789407,24976
1817,2020-09-01,MN,491,4408,1132922,9193
1818,2020-09-01,MO,1058,7231,991244,8289
1819,2020-09-01,MP,1,0,13541,1
1820,2020-09-01,MS,634,3018,577517,3652
1821,2020-09-01,MT,88,1970,252296,2058
1822,2020-09-01,NC,2111,37415,2295698,39526
1823,2020-09-01,ND,194,473,202422,2396
1824,2020-09-01,NE,241,1483,363075,1724
1825,2020-09-01,NH,22,343,211281,1021
1826,2020-09-01,NJ,330,800,2859048,1130
1827,2020-09-01,NM,69,3872,760874,3941
1828,2020-09-01,NV,405,2023,600349,2428
1829,2020-09-01,NY,754,76243,8340030,76997
1830,2020-09-01,OH,1453,24112,2269669,25565
1831,2020-09-01,OK,666,20968,889688,21634
1832,2020-09-01,OR,233,4339,561800,4572
1833,2020-09-01,PA,770,15774,1674764,16544
1834,2020-09-01,PR,222,0,339393,222
1835,2020-09-01,RI,53,2532,276482,6074
1836,2020-09-01,SC,854,4000,954402,4854
1837,2020-09-01,SD,240,826,147595,1066
1838,2020-09-01,TN,1396,15356,2217751,16752
1839,2020-09-01,TX,4364,67637,5033554,72001
1840,2020-09-01,UT,296,4370,664521,4666
1841,2020-09-01,VA,1021,11117,1598924,12077
1842,2020-09-01,VI,5,148,16397,153
1843,2020-09-01,VT,11,2714,138446,2725
1844,2020-09-01,WA,315,11576,1473245,11891
1845,2020-09-01,WI,1036,10863,1265488,11899
1846,2020-09-01,WV,257,2137,438441,2394
1847,2020-09-01,WY,24,270,76567,294
1848,2020-08-31,AK,39,1752,348630,1791
1849,2020-08-31,AL,823,3402,985287,4098
1850,2020-08-31,AR,368,13980,727035,14348
1851,2020-08-31,AS,0,0,1514,0
1852,2020-08-31,AZ,174,4814,1204429,4970
1853,2020-08-31,CA,4176,137300,11373305,141476
1854,2020-08-31,CO,182,4505,709896,7851
1855,2020-08-31,CT,384,45206,1173096,45590
1856,2020-08-31,DC,33,2560,290682,2593
1857,2020-08-31,DE,86,2102,236849,2188
1858,2020-08-31,FL,1885,14046,4619011,15931
1859,2020-08-31,GA,1498,14646,2343634,16144
1860,2020-08-31,GU,48,376,37884,424
1861,2020-08-31,HI,200,2584,196719,2784
1862,2020-08-31,IA,608,3169,620872,3777
1863,2020-08-31,ID,190,1498,256013,1680
1864,2020-08-31,IL,1668,45711,4065863,47379
1865,2020-08-31,IN,883,10708,1076947,11591
1866,2020-08-31,KS,1564,8538,413249,10102
1867,2020-08-31,KY,364,4842,821320,5547
1868,2020-08-31,LA,326,3713,1873490,4039
1869,2020-08-31,MA,304,18439,1742517,31862
1870,2020-08-31,MD,458,11157,1330853,11615
1871,2020-08-31,ME,14,3260,262935,3274
1872,2020-08-31,MI,499,19138,2764431,19637
1873,2020-08-31,MN,675,5277,1128023,11294
1874,2020-08-31,MO,1042,7676,982955,8718
1875,2020-08-31,MP,0,0,13540,0
1876,2020-08-31,MS,274,4427,573865,4701
1877,2020-08-31,MT,81,3496,250238,3577
1878,2020-08-31,NC,1186,11713,2256172,12899
1879,2020-08-31,ND,114,1682,201755,1781
1880,2020-08-31,NE,293,3113,361351,3406
1881,2020-08-31,NH,21,1600,210916,2520
1882,2020-08-31,NJ,349,21235,2857918,21584
1883,2020-08-31,NM,105,4306,756933,4411
1884,2020-08-31,NV,320,1916,597921,2236
1885,2020-08-31,NY,656,65585,8263033,66241
1886,2020-08-31,OH,895,46349,2244104,47244
1887,2020-08-31,OK,713,0,872443,713
1888,2020-08-31,OR,159,3724,557228,3883
1889,2020-08-31,PA,521,8296,1658220,8817
1890,2020-08-31,PR,351,0,339171,351
1891,2020-08-31,RI,46,1835,273897,3936
1892,2020-08-31,SC,668,6007,949548,6675
1893,2020-08-31,SD,187,691,146529,878
1894,2020-08-31,TN,1818,10171,2200999,11989
1895,2020-08-31,TX,2615,34226,4961553,36841
1896,2020-08-31,UT,253,4095,659855,4348
1897,2020-08-31,VA,847,12277,1586869,13097
1898,2020-08-31,VI,5,123,16250,128
1899,2020-08-31,VT,8,2438,135721,2446
1900,2020-08-31,WA,0,0,1461354,0
1901,2020-08-31,WI,268,3552,1253579,3820
1902,2020-08-31,WV,140,4785,436047,4925
1903,2020-08-31,WY,22,958,76273,980
1904,2020-08-30,AK,51,1093,346839,1144
1905,2020-08-30,AL,1346,3898,981062,5070
1906,2020-08-30,AR,478,5239,712687,5717
1907,2020-08-30,AS,0,0,1514,0
1908,2020-08-30,AZ,374,6691,1199441,7060
1909,2020-08-30,CA,6070,116129,11231829,122199
1910,2020-08-30,CO,268,5557,705209,9329
1911,2020-08-30,CT,0,0,1127506,0
1912,2020-08-30,DC,34,2299,288089,2333
1913,2020-08-30,DE,-6,1783,234661,1777
1914,2020-08-30,FL,2583,21814,4603105,24397
1915,2020-08-30,GA,1215,14096,2327490,15311
1916,2020-08-30,GU,0,0,37460,0
1917,2020-08-30,HI,309,2716,193935,3025
1918,2020-08-30,IA,971,3545,617095,4516
1919,2020-08-30,ID,293,2982,254325,3268
1920,2020-08-30,IL,1992,41701,4018484,43693
1921,2020-08-30,IN,879,8684,1065356,9563
1922,2020-08-30,KS,0,0,403147,0
1923,2020-08-30,KY,455,0,816114,0
1924,2020-08-30,LA,1624,38648,1869451,40272
1925,2020-08-30,MA,199,16420,1723774,32895
1926,2020-08-30,MD,497,14258,1319238,14755
1927,2020-08-30,ME,23,4280,259661,4303
1928,2020-08-30,MI,1390,59530,2744794,60920
1929,2020-08-30,MN,932,10002,1122071,18051
1930,2020-08-30,MO,1465,7446,974237,8911
1931,2020-08-30,MP,0,-2,13540,-2
1932,2020-08-30,MS,647,0,569164,647
1933,2020-08-30,MT,89,1191,246661,1280
1934,2020-08-30,NC,1051,24073,2243273,25124
1935,2020-08-30,ND,221,0,199959,3551
1936,2020-08-30,NE,317,2410,357945,2727
1937,2020-08-30,NH,8,1947,209295,3711
1938,2020-08-30,NJ,291,28296,2836334,28587
1939,2020-08-30,NM,136,5109,752522,5245
1940,2020-08-30,NV,447,2717,595685,3164
1941,2020-08-30,NY,698,99324,8196792,100022
1942,2020-08-30,OH,922,24812,2196860,25734
1943,2020-08-30,OK,667,0,871730,667
1944,2020-08-30,OR,261,4234,553345,4495
1945,2020-08-30,PA,670,11791,1649403,12461
1946,2020-08-30,PR,298,0,338820,298
1947,2020-08-30,RI,46,1759,272016,5336
1948,2020-08-30,SC,1075,6175,942873,7250
1949,2020-08-30,SD,380,765,145651,1145
1950,2020-08-30,TN,835,11170,2189010,12005
1951,2020-08-30,TX,3824,19916,4924712,23740
1952,2020-08-30,UT,448,4499,655507,4947
1953,2020-08-30,VA,938,11816,1573740,12707
1954,2020-08-30,VI,11,263,16122,274
1955,2020-08-30,VT,11,3084,133275,3095
1956,2020-08-30,WA,1019,36564,1461354,37583
1957,2020-08-30,WI,570,4562,1249759,5132
1958,2020-08-30,WV,143,4722,431122,4865
1959,2020-08-30,WY,36,0,75293,36
1960,2020-08-29,AK,112,6045,345695,6157
1961,2020-08-29,AL,1704,9251,975818,10812
1962,2020-08-29,AR,795,8120,706970,8915
1963,2020-08-29,AS,0,0,1514,0
1964,2020-08-29,AZ,629,7670,1192376,8271
1965,2020-08-29,CA,4981,94012,11109630,98993
1966,2020-08-29,CO,430,7643,699384,12632
1967,2020-08-29,CT,0,0,1127506,0
1968,2020-08-29,DC,74,4133,285756,4207
1969,2020-08-29,DE,266,1577,232884,1843
1970,2020-08-29,FL,3197,24337,4578685,27534
1971,2020-08-29,GA,2386,22809,2312179,25195
1972,2020-08-29,GU,60,474,37460,534
1973,2020-08-29,HI,264,2493,190910,2757
1974,2020-08-29,IA,778,4642,612579,5420
1975,2020-08-29,ID,262,1601,251050,1848
1976,2020-08-29,IL,1880,46904,3974791,48784
1977,2020-08-29,IN,1121,10623,1055793,11744
1978,2020-08-29,KS,0,0,403147,0
1979,2020-08-29,KY,820,10189,815659,10885
1980,2020-08-29,LA,0,0,1829179,0
1981,2020-08-29,MA,446,23461,1707155,48917
1982,2020-08-29,MD,630,12583,1304483,13213
1983,2020-08-29,ME,53,4132,255358,4185
1984,2020-08-29,MI,0,0,2683874,0
1985,2020-08-29,MN,1017,8410,1111137,17037
1986,2020-08-29,MO,1198,9495,965326,10693
1987,2020-08-29,MP,2,0,13542,2
1988,2020-08-29,MS,735,4900,568517,5635
1989,2020-08-29,MT,188,2318,245381,2506
1990,2020-08-29,NC,2585,32673,2218149,35258
1991,2020-08-29,ND,373,1377,199738,7678
1992,2020-08-29,NE,335,2464,355218,2799
1993,2020-08-29,NH,30,1153,207340,2793
1994,2020-08-29,NJ,349,58204,2807747,58553
1995,2020-08-29,NM,122,6789,747277,6911
1996,2020-08-29,NV,609,3361,592521,3970
1997,2020-08-29,NY,635,93238,8096770,93873
1998,2020-08-29,OH,1216,28855,2171126,30071
1999,2020-08-29,OK,1093,7025,871063,8118
2000,2020-08-29,OR,239,4744,548850,4983
2001,2020-08-29,PA,843,15273,1636942,16116
2002,2020-08-29,PR,562,0,338522,562
2003,2020-08-29,RI,174,3246,270211,10238
2004,2020-08-29,SC,1298,7816,935623,9114
2005,2020-08-29,SD,425,1141,144506,1566
2006,2020-08-29,TN,1465,20036,2177005,21501
2007,2020-08-29,TX,4762,53848,4900972,58610
2008,2020-08-29,UT,458,2357,650560,2815
2009,2020-08-29,VA,1217,15020,1560983,16197
2010,2020-08-29,VI,43,410,15918,453
2011,2020-08-29,VT,16,3409,130180,3425
2012,2020-08-29,WA,598,15009,1423771,15607
2013,2020-08-29,WI,862,7933,1244586,8795
2014,2020-08-29,WV,143,6533,426257,6676
2015,2020-08-29,WY,21,0,75257,21
2016,2020-08-28,AK,122,3196,339538,3318
2017,2020-08-28,AL,1162,6892,964863,7821
2018,2020-08-28,AR,838,7189,698055,8027
2019,2020-08-28,AS,0,0,1514,0
2020,2020-08-28,AZ,519,8630,1184077,9104
2021,2020-08-28,CA,5329,86893,11010637,92222
2022,2020-08-28,CO,350,4858,691311,10236
2023,2020-08-28,CT,145,13865,1127506,14010
2024,2020-08-28,DC,57,4788,281549,4845
2025,2020-08-28,DE,107,2875,231041,2982
2026,2020-08-28,FL,3815,26498,4551124,30313
2027,2020-08-28,GA,2298,15849,2286984,18147
2028,2020-08-28,GU,55,515,36926,570
2029,2020-08-28,HI,306,2172,188153,2478
2030,2020-08-28,IA,1185,4331,607159,5516
2031,2020-08-28,ID,342,2174,249187,2459
2032,2020-08-28,IL,2434,46234,3926007,48668
2033,2020-08-28,IN,809,8494,1044049,9303
2034,2020-08-28,KS,1111,6939,403147,8050
2035,2020-08-28,KY,779,10986,804650,11628
2036,2020-08-28,LA,606,9669,1829179,10275
2037,2020-08-28,MA,460,23278,1683248,44126
2038,2020-08-28,MD,601,15587,1291270,16188
2039,2020-08-28,ME,22,5224,251173,5246
2040,2020-08-28,MI,793,32250,2683874,33043
2041,2020-08-28,MN,850,7370,1101710,15997
2042,2020-08-28,MO,1418,10192,954633,11610
2043,2020-08-28,MP,0,0,13540,0
2044,2020-08-28,MS,599,5645,562882,6244
2045,2020-08-28,MT,134,2082,242875,2216
2046,2020-08-28,NC,1415,28751,2182891,30166
2047,2020-08-28,ND,312,1127,197988,7514
2048,2020-08-28,NE,374,3470,352419,3844
2049,2020-08-28,NH,22,2118,206157,3959
2050,2020-08-28,NJ,358,0,2749194,358
2051,2020-08-28,NM,188,5958,740366,6146
2052,2020-08-28,NV,632,3687,588551,4319
2053,2020-08-28,NY,636,97190,8002897,97826
2054,2020-08-28,OH,1296,23470,2141055,24766
2055,2020-08-28,OK,710,9221,862267,9931
2056,2020-08-28,OR,293,4858,543867,5151
2057,2020-08-28,PA,835,17070,1620826,17905
2058,2020-08-28,PR,605,0,337960,605
2059,2020-08-28,RI,94,3284,266791,9329
2060,2020-08-28,SC,1353,7137,926509,8490
2061,2020-08-28,SD,323,1334,142940,1657
2062,2020-08-28,TN,1636,25639,2155504,27275
2063,2020-08-28,TX,4031,44417,4842362,48448
2064,2020-08-28,UT,391,4593,647745,4984
2065,2020-08-28,VA,2134,34760,1544724,36769
2066,2020-08-28,VI,23,160,15469,183
2067,2020-08-28,VT,3,1921,126755,1924
2068,2020-08-28,WA,542,16313,1408164,16855
2069,2020-08-28,WI,864,8313,1235791,9177
2070,2020-08-28,WV,191,5581,419581,5772
2071,2020-08-28,WY,41,663,75236,704
2072,2020-08-27,AK,82,1334,336220,1416
2073,2020-08-27,AL,1769,11355,956809,12023
2074,2020-08-27,AR,722,6033,690028,6755
2075,2020-08-27,AS,0,0,1514,0
2076,2020-08-27,AZ,680,7338,1174928,7998
2077,2020-08-27,CA,4430,81228,10918415,85658
2078,2020-08-27,CO,193,3849,686103,7113
2079,2020-08-27,CT,130,15331,1113496,15461
2080,2020-08-27,DC,72,2884,276704,2956
2081,2020-08-27,DE,-10,974,228059,964
2082,2020-08-27,FL,3269,21277,4520837,24546
2083,2020-08-27,GA,2484,17452,2268837,19936
2084,2020-08-27,GU,112,890,36356,1002
2085,2020-08-27,HI,276,2242,185675,2518
2086,2020-08-27,IA,1551,6284,601643,7835
2087,2020-08-27,ID,305,1504,246671,1728
2088,2020-08-27,IL,1707,42803,3877339,44510
2089,2020-08-27,IN,1145,11064,1034746,12209
2090,2020-08-27,KS,0,0,395097,0
2091,2020-08-27,KY,748,8748,792885,9350
2092,2020-08-27,LA,677,9359,1818904,10036
2093,2020-08-27,MA,368,24975,1659510,52284
2094,2020-08-27,MD,577,11334,1275082,11911
2095,2020-08-27,ME,25,3906,245927,3931
2096,2020-08-27,MI,863,29616,2650831,30479
2097,2020-08-27,MN,1154,13289,1093490,21340
2098,2020-08-27,MO,1512,9371,943023,10883
2099,2020-08-27,MP,0,619,13540,619
2100,2020-08-27,MS,585,4263,556638,4848
2101,2020-08-27,MT,144,2255,240659,2399
2102,2020-08-27,NC,2091,29633,2152725,31724
2103,2020-08-27,ND,333,1108,196549,6614
2104,2020-08-27,NE,379,3436,348575,3815
2105,2020-08-27,NH,35,2147,204017,4243
2106,2020-08-27,NJ,307,26945,2748836,27252
2107,2020-08-27,NM,197,5396,734220,5593
2108,2020-08-27,NV,554,2523,584232,3077
2109,2020-08-27,NY,791,82646,7905071,83437
2110,2020-08-27,OH,1244,67139,2116289,68383
2111,2020-08-27,OK,712,7753,852998,8465
2112,2020-08-27,OR,190,5788,538716,5978
2113,2020-08-27,PA,620,14123,1602921,14743
2114,2020-08-27,PR,639,0,337355,639
2115,2020-08-27,RI,135,3648,263413,10549
2116,2020-08-27,SC,505,7435,918019,7940
2117,2020-08-27,SD,343,2895,141283,3238
2118,2020-08-27,TN,1826,24282,2128229,26108
2119,2020-08-27,TX,5600,23674,4793914,29274
2120,2020-08-27,UT,383,5049,642761,5432
2121,2020-08-27,VA,0,0,1507891,0
2122,2020-08-27,VI,22,209,15269,231
2123,2020-08-27,VT,9,1981,124831,1990
2124,2020-08-27,WA,456,10749,1391309,11205
2125,2020-08-27,WI,912,9913,1226622,10825
2126,2020-08-27,WV,93,4111,413809,4204
2127,2020-08-27,WY,38,3916,74532,3954
2128,2020-08-26,AK,53,920,334804,973
2129,2020-08-26,AL,2012,14396,943685,15568
2130,2020-08-26,AR,649,8440,683273,9569
2131,2020-08-26,AS,0,0,1514,0
2132,2020-08-26,AZ,186,4520,1166910,4693
2133,2020-08-26,CA,6004,64247,10832757,70251
2134,2020-08-26,CO,459,31404,682061,7996
2135,2020-08-26,CT,180,15149,1098035,15329
2136,2020-08-26,DC,38,2088,273748,2126
2137,2020-08-26,DE,24,1743,227095,1767
2138,2020-08-26,FL,3220,23074,4496322,26294
2139,2020-08-26,GA,2236,15815,2248901,18051
2140,2020-08-26,GU,136,816,35354,952
2141,2020-08-26,HI,0,2307,183157,2307
2142,2020-08-26,IA,941,5124,593808,6065
2143,2020-08-26,ID,405,4362,244862,4705
2144,2020-08-26,IL,2157,48205,3832829,50362
2145,2020-08-26,IN,938,10618,1022537,11556
2146,2020-08-26,KS,1536,6604,395097,8140
2147,2020-08-26,KY,662,7259,783389,7772
2148,2020-08-26,LA,1545,13261,1808868,14806
2149,2020-08-26,MA,336,19429,1634167,36478
2150,2020-08-26,MD,440,7166,1263171,7606
2151,2020-08-26,ME,21,4601,241996,4622
2152,2020-08-26,MI,843,40334,2620352,41177
2153,2020-08-26,MN,529,5992,1079047,11021
2154,2020-08-26,MO,1426,6636,932140,8062
2155,2020-08-26,MP,0,0,12921,0
2156,2020-08-26,MS,904,3625,551790,4529
